Name,"""I""","""i""","""C""","""c""","""P""","""p""","""M""","""m"""
Opossum,5,4,1,1,3,3,4,4
Hairytailmole,3,3,1,1,4,4,3,3
CommonMole,3,2,1,0,3,3,3,3
StarNoseMole,3,3,1,1,4,4,3,3
BrownBat,2,3,1,1,3,3,3,3
SilverHairBat,2,3,1,1,2,3,3,3
PigmyBat,2,3,1,1,2,2,3,3
HouseBat,2,3,1,1,1,2,3,3
RedBat,1,3,1,1,2,2,3,3
HoaryBat,1,3,1,1,2,2,3,3
LumpNoseBat,2,3,1,1,2,3,3,3
Armadillo,0,0,0,0,0,0,8,8
Pika,2,1,0,0,2,2,3,3
SnowshoeRabbit,2,1,0,0,3,2,3,3
Beaver,1,1,0,0,2,1,3,3
Marmot,1,1,0,0,2,1,3,3
Groundhog,1,1,0,0,2,1,3,3
PrairieDog,1,1,0,0,2,1,3,3
GroundSquirrel,1,1,0,0,2,1,3,3
Chipmunk,1,1,0,0,2,1,3,3
GraySquirrel,1,1,0,0,1,1,3,3
FoxSquirrel,1,1,0,0,1,1,3,3
PocketGopher,1,1,0,0,1,1,3,3
KangarooRat,1,1,0,0,1,1,3,3
PackRat,1,1,0,0,0,0,3,3
FieldMouse,1,1,0,0,0,0,3,3
Muskrat,1,1,0,0,0,0,3,3
BlackRat,1,1,0,0,0,0,3,3
HouseMouse,1,1,0,0,0,0,3,3
Porcupine,1,1,0,0,1,1,3,3
GuineaPig,1,1,0,0,1,1,3,3
Coyote,1,3,1,1,4,4,3,3
Wolf,3,3,1,1,4,4,2,3
Fox,3,3,1,1,4,4,2,3
Bear,3,3,1,1,4,4,2,3
CivetCat,3,3,1,1,4,4,2,2
Raccoon,3,3,1,1,4,4,3,2
Marten,3,3,1,1,4,4,1,2
Fisher,3,3,1,1,4,4,1,2
Weasel,3,3,1,1,3,3,1,2
Mink,3,3,1,1,3,3,1,2
Ferrer,3,3,1,1,3,3,1,2
Wolverine,3,3,1,1,4,4,1,2
Badger,3,3,1,1,3,3,1,2
Skunk,3,3,1,1,3,3,1,2
RiverOtter,3,3,1,1,4,3,1,2
SeaOtter,3,2,1,1,3,3,1,2
Jaguar,3,3,1,1,3,2,1,1
Ocelot,3,3,1,1,3,2,1,1
Cougar,3,3,1,1,3,2,1,1
Lynx,3,3,1,1,3,2,1,1
FurSeal,3,2,1,1,4,4,1,1
SeaLion,3,2,1,1,4,4,1,1
Walrus,1,0,1,1,3,3,0,0
GreySeal,3,2,1,1,3,3,2,2
ElephantSeal,2,1,1,1,4,4,1,1
Peccary,2,3,1,1,3,3,3,3
Elk,0,4,1,0,3,3,3,3
Deer,0,4,0,0,3,3,3,3
Moose,0,4,0,0,3,3,3,3
Reindeer,0,4,1,0,3,3,3,3
Antelope,0,4,0,0,3,3,3,3
Bison,0,4,0,0,3,3,3,3
MountainGoat,0,4,0,0,3,3,3,3
MuskOx,0,4,0,0,3,3,3,3
MountainSheep,0,4,0,0,3,3,3,3